code,name,population,male_rate,female_rate,age_20_24_rate,age_25_29_rate,age_30_34_rate,age_35_39_rate,bachelor_plus_rate,master_plus_rate
110000,北京市,21893000,0.5114,0.4886,0.060,0.078,0.088,0.082,0.3100,0.0750
120000,天津市,13866009,0.5153,0.4847,0.062,0.071,0.079,0.075,0.1850,0.0220
130000,河北省,74610235,0.5050,0.4950,0.070,0.071,0.078,0.080,0.1240,0.0120
140000,山西省,34915616,0.5099,0.4901,0.068,0.070,0.077,0.079,0.1320,0.0120
150000,内蒙古自治区,24049155,0.5126,0.4874,0.066,0.069,0.076,0.077,0.1480,0.0130
210000,辽宁省,42591407,0.4990,0.5010,0.054,0.062,0.073,0.079,0.1820,0.0190
220000,吉林省,24073453,0.5010,0.4990,0.056,0.063,0.073,0.078,0.1670,0.0170
230000,黑龙江省,31850088,0.5015,0.4985,0.055,0.062,0.073,0.079,0.1580,0.0150
310000,上海市,24870895,0.5170,0.4830,0.062,0.083,0.091,0.080,0.2850,0.0610
320000,江苏省,84748016,0.5078,0.4922,0.064,0.073,0.083,0.080,0.1866,0.0250
330000,浙江省,64567588,0.5230,0.4770,0.068,0.081,0.090,0.080,0.1690,0.0190
340000,安徽省,61027171,0.5097,0.4903,0.071,0.070,0.078,0.079,0.1280,0.0120
350000,福建省,41540086,0.5168,0.4832,0.071,0.076,0.084,0.079,0.1415,0.0140
360000,江西省,45188635,0.5160,0.4840,0.073,0.071,0.079,0.080,0.1190,0.0110
370000,山东省,101527453,0.5066,0.4934,0.068,0.070,0.078,0.080,0.1438,0.0180
410000,河南省,99365519,0.5015,0.4985,0.072,0.069,0.077,0.080,0.1174,0.0110
420000,湖北省,57752557,0.5142,0.4858,0.065,0.072,0.082,0.079,0.1550,0.0180
430000,湖南省,66444864,0.5116,0.4884,0.068,0.070,0.079,0.080,0.1224,0.0120
440000,广东省,126012510,0.5307,0.4693,0.073,0.088,0.095,0.082,0.1570,0.0180
450000,广西壮族自治区,50126804,0.5170,0.4830,0.073,0.071,0.079,0.080,0.1081,0.0100
460000,海南省,10081232,0.5302,0.4698,0.071,0.075,0.083,0.079,0.1392,0.0130
500000,重庆市,32054159,0.5055,0.4945,0.063,0.070,0.080,0.079,0.1541,0.0160
510000,四川省,83674866,0.5054,0.4946,0.064,0.069,0.079,0.080,0.1327,0.0130
520000,贵州省,38562148,0.5110,0.4890,0.073,0.070,0.078,0.080,0.1095,0.0100
530000,云南省,47209277,0.5173,0.4827,0.071,0.070,0.078,0.079,0.1160,0.0110
540000,西藏自治区,3648100,0.5245,0.4755,0.073,0.069,0.075,0.070,0.0820,0.0150
610000,陕西省,39528999,0.5117,0.4883,0.065,0.071,0.081,0.079,0.1840,0.0190
620000,甘肃省,25019831,0.5076,0.4924,0.070,0.069,0.077,0.079,0.1451,0.0130
630000,青海省,5923957,0.5121,0.4879,0.071,0.070,0.078,0.079,0.1488,0.0130
640000,宁夏回族自治区,7202654,0.5094,0.4906,0.071,0.070,0.078,0.079,0.1734,0.0140
650000,新疆维吾尔自治区,25852345,0.5166,0.4834,0.073,0.071,0.079,0.079,0.1654,0.0130
